y [m],Bending Moment [Nm]
5.6722125,2044.450271
5.687925,1941.567695
5.7036375,1841.216671
5.71935,1743.372838
5.7350625,1648.011492
5.750775,1555.107571
5.7664875,1464.635642
5.7822,1376.569883
5.7979125,1290.884068
5.813625,1207.551549
5.8293375,1126.545232
5.84505,1047.837563
5.8607625,971.4004959
5.876475,897.2054749
5.8921875,825.2234019
5.89218788,825.2216854
5.9079,755.6290055
5.9236125,689.2089285
5.939325,626.1330759
5.9550375,566.3655394
5.97075,509.8696815
5.9864625,456.6080853
6.002175,406.5424956
6.0178875,359.6337545
6.0336,315.8417259
6.0493125,275.1252098
6.065025,237.4418429
6.0807375,202.7479822
6.09645,170.9985671
6.1121625,142.1469546
6.127875,116.1447192
6.1435875,92.9414055
6.1593,72.48421696
6.1750125,54.71761404
6.190725,39.58277988
6.2064375,27.01688223
6.22215,16.95200092
6.2378625,9.313454904
6.253575,4.016895112
6.2692875,0.962163324
6.285,0
