y [m],Shear Force [N],Shear Force [N]
3.95955,20591.19464,-20591.19464
3.9752625,20321.65281,-20321.65281
3.990975,20052.8015,-20052.8015
4.0066875,19784.6442,-19784.6442
4.0224,19517.18443,-19517.18443
4.0381125,19250.42576,-19250.42576
4.053825,18984.37177,-18984.37177
4.0695375,18719.02606,-18719.02606
4.08525,18454.3923,-18454.3923
4.1009625,18190.47414,-18190.47414
4.116675,17927.2753,-17927.2753
4.1323875,17664.79951,-17664.79951
4.1481,17403.05055,-17403.05055
4.1638125,17142.03221,-17142.03221
4.179525,16881.74834,-16881.74834
4.1952375,16622.20281,-16622.20281
4.21095,16363.39951,-16363.39951
4.2266625,16105.34239,-16105.34239
4.242375,15848.03543,-15848.03543
4.2580875,15591.48264,-15591.48264
4.2738,15335.68807,-15335.68807
4.2895125,15080.65581,-15080.65581
4.305225,14826.38999,-14826.38999
4.3209375,14572.89478,-14572.89478
4.33665,14320.17439,-14320.17439
4.3523625,14068.23306,-14068.23306
4.368075,13817.07509,-13817.07509
4.3837875,13566.70481,-13566.70481
4.3995,13317.12661,-13317.12661
4.4152125,13068.3449,-13068.3449
4.430925,12820.36416,-12820.36416
4.4466375,12573.1889,-12573.1889
4.46235,12326.82369,-12326.82369
4.4780625,12081.27313,-12081.27313
4.493775,11836.5419,-11836.5419
4.5094875,11592.63471,-11592.63471
4.5252,11349.55632,-11349.55632
4.5409125,11107.31155,-11107.31155
4.556625,10865.90528,-10865.90528
4.5723375,10625.34243,-10625.34243
4.58805,10385.62799,-10385.62799
4.6037625,10146.767,-10146.767
4.619475,9908.764561,-9908.764561
4.6351875,9671.625847,-9671.625847
4.6509,9435.356079,-9435.356079
4.6666125,9199.960547,-9199.960547
4.682325,8965.444607,-8965.444607
4.6980375,8731.813681,-8731.813681
4.71375,8499.07326,-8499.07326
4.7294625,8267.228905,-8267.228905
4.745175,8036.286249,-8036.286249
4.7608875,7806.250999,-7806.250999
4.7766,7577.128937,-7577.128937
4.7923125,7348.925924,-7348.925924
