y [m],Total Torsion [Nm]
5.3893875,-2051.566723
5.4051,-1992.595061
5.4208125,-1933.614016
5.436525,-1874.624949
5.4522375,-1815.629225
5.46795,-1756.628212
5.4836625,-1697.623282
5.499375,-1638.615812
5.5150875,-1579.607181
5.5308,-1520.598773
5.5465125,-1461.591978
5.562225,-1402.588189
5.5779375,-1343.588805
5.59365,-1284.595231
5.6093625,-1225.608876
5.625075,-1166.631156
5.6407875,-1107.663496
5.6565,-1048.707323
5.6722125,-989.7640765
5.687925,-930.8352006
5.7036375,-871.9221493
5.71935,-813.0263857
5.7350625,-754.1493824
5.750775,-695.2926228
5.7664875,-636.4576018
5.7822,-577.6458265
5.7979125,-518.8588172
5.813625,-460.0981091
5.8293375,-401.3652527
5.84505,-342.661816
5.8607625,-283.9893858
5.876475,-225.3495692
5.8921875,-166.7439964
5.89218788,-166.7425755
5.9079,-159.4567018
5.9236125,-152.2150043
5.939325,-145.0180591
5.9550375,-137.8663
5.97075,-130.760199
5.9864625,-123.7002722
6.002175,-116.6870848
6.0178875,-109.721259
6.0336,-102.8034817
6.0493125,-95.93451532
6.065025,-89.11521045
6.0807375,-82.34652171
6.09645,-75.62952808
6.1121625,-68.96545896
6.127875,-62.35572867
6.1435875,-55.8019828
6.1593,-49.30616271
6.1750125,-42.87059804
6.190725,-36.49814543
6.2064375,-30.19240813
6.22215,-23.95811012
6.2378625,-17.80180272
6.253575,-11.73343118
6.2692875,-5.771007301
6.285,0
