y;moment;shear;torsion;;
2.6554125;88496.10292;-55430.081;32380.49215;;
2.671125;87627.64634;-55113.39566;32165.1175;;
2.6868375;86764.16203;-54797.17599;31950.42364;;
2.70255;85905.64264;-54481.42417;31736.41023;;
2.7182625;85052.08081;-54166.14241;31523.07694;;
2.733975;84203.46914;-53851.33291;31310.42343;;
2.7496875;83359.80019;-53536.99788;31098.44936;;
2.7654;82521.06648;-53223.13955;30887.15439;;
2.7811125;81687.26052;-52909.76014;30676.53819;;
2.796825;80858.37475;-52596.86191;30466.6004;;
2.8125375;80034.4016;-52284.44709;30257.34069;;
2.82825;79215.33346;-51972.51796;30048.7587;;
2.8439625;78401.16267;-51661.07677;29840.85408;;
2.859675;77591.88155;-51350.1258;29633.62649;;
2.8753875;76787.48239;-51039.66736;29427.07557;;
2.8911;75987.95741;-50729.70373;29221.20097;;
2.9068125;75193.29884;-50420.23722;29016.00232;;
2.922525;74403.49884;-50111.27015;28811.47928;;
2.9382375;73618.54955;-49802.80485;28607.63149;;
2.95395;72838.44306;-49494.84366;28404.45857;;
2.9696625;72063.17144;-49187.38893;28201.96017;;
2.985375;71292.7267;-48880.44301;28000.13593;;
3.0010875;70527.10084;-48574.00829;27798.98547;;
3.0168;69766.2858;-48268.08714;27598.50844;;
3.0325125;69010.2735;-47962.68196;27398.70445;;
3.048225;68259.0558;-47657.79514;27199.57314;;
3.0639375;67512.62456;-47353.42912;27001.11413;;
3.07965;66770.97155;-47049.5863;26803.32706;;
3.0953625;66034.08855;-46746.26914;26606.21154;;
3.111075;65301.96728;-46443.48008;26409.7672;;
3.1267875;64574.59941;-46141.22158;26213.99366;;
3.1425;63851.9766;-45839.49613;26018.89054;;
3.1582125;63134.09044;-45538.3062;25824.45745;;
3.173925;62420.93251;-45237.6543;25630.69402;;
3.1896375;61712.49433;-44937.54294;25437.59986;;
3.20535;61008.76738;-44637.97464;25245.17458;;
3.209838258;60808.61245;-44552.50331;25169.85044;;
3.2210625;60309.74312;-44338.95182;25024.78815;;
3.236775;59615.41294;-44040.47728;24833.69947;;
3.2524875;58925.76823;-43742.55346;24643.27852;;
3.2682;58240.8003;-43445.18294;24453.52489;;
3.2839125;57560.50045;-43148.3683;24264.43819;;
3.299625;56884.85991;-42852.11216;24076.01804;;
3.3153375;56213.86988;-42556.41713;23888.26403;;
3.33105;55547.52154;-42261.28586;23701.17577;;
3.3467625;54885.80601;-41966.72097;23514.75286;;
3.362475;54228.71436;-41672.72515;23328.99491;;
3.3781875;53576.23763;-41379.30107;23143.90152;;
3.3939;52928.36681;-41086.45141;22959.47228;;
3.4096125;52285.09287;-40794.1789;22775.70679;;
3.425325;51646.4067;-40502.48625;22592.60466;;
3.4410375;51012.29919;-40211.3762;22410.16548;;
3.45675;50382.76114;-39920.85151;22228.38883;;
3.4724625;49757.78335;-39630.91496;22047.27433;;
3.488175;49137.35654;-39341.56932;21866.82156;;
3.5038875;48521.47142;-39052.81741;21687.03012;;
3.5196;47910.11863;-38764.66204;21507.89959;;
3.5353125;47303.28878;-38477.10607;21329.42958;;
3.551025;46700.97242;-38190.15233;21151.61967;;
3.5667375;46103.16007;-37903.80371;20974.46944;;
3.58245;45509.8422;-37618.0631;20797.9785;;
3.5981625;44921.00924;-37332.93341;20622.14643;;
3.613875;44336.65156;-37048.41757;20446.97282;;
3.6295875;43756.75949;-36764.51852;20272.45725;;
3.6453;43181.32332;-36481.23924;20098.59931;;
3.6610125;42610.33328;-36198.58271;19925.3986;;
3.676725;42043.77958;-35916.55193;19752.85469;;
3.6924375;41481.65234;-35635.14993;19580.96717;;
3.70815;40923.94168;-35354.37976;19409.73563;;
3.7238625;40370.63763;-35074.24448;19239.15965;;
3.739575;39821.73021;-34794.74719;19069.23882;;
3.7552875;39277.20935;-34515.89098;18899.97273;;
3.771;38737.06496;-34237.67899;18731.36095;;
3.7867125;38201.28689;-33960.11438;18563.40307;;
3.802425;37669.86496;-33683.20031;18396.09868;;
3.8181375;37142.7889;-33406.93998;18229.44737;;
3.83385;36620.04843;-33131.33662;18063.44871;;
3.8495625;36101.63319;-32856.39346;17898.10229;;
3.865275;35587.53279;-32582.11378;17733.40769;;
3.8809875;35077.73677;-32308.50085;17569.36451;;
3.8967;34572.23464;-32035.55801;17405.97233;;
3.9124125;34071.01583;-31763.28859;17243.23072;;
3.928125;33574.06975;-31491.69596;17081.13929;;
3.9438375;33081.38573;-31220.7835;16919.69761;;
3.95955;32592.95305;-30950.55464;16758.90527;;
3.9752625;32108.76095;-30681.01281;16598.76186;;
3.990975;31628.7986;-30412.1615;16439.26697;;
4.0066875;31153.05514;-30144.0042;16280.42018;;
4.0224;30681.51962;-29876.54443;16122.22109;;
4.0381125;30214.18106;-29609.78576;15964.66929;;
4.053825;29751.02841;-29343.73177;15807.76437;;
4.0695375;29292.05058;-29078.38606;15651.50592;;
4.08525;28837.2364;-28813.7523;15495.89353;;
4.1009625;28386.57466;-28549.83414;15340.92681;;
4.116675;27940.05409;-28286.6353;15186.60534;;
4.1323875;27497.66336;-28024.15951;15032.92872;;
4.1481;27059.39107;-27762.41055;14879.89656;;
4.1638125;26625.22578;-27501.39221;14727.50845;;
4.179525;26195.15598;-27241.10834;14575.76399;;
4.1952375;25769.17009;-26981.56281;14424.66279;;
4.21095;25347.25648;-26722.75951;14274.20446;;
4.2266625;24929.40346;-26464.70239;14124.38859;;
4.242375;24515.59928;-26207.39543;13975.21481;;
4.2580875;24105.83211;-25950.84264;13826.68271;;
4.2738;23700.09008;-25695.04807;13678.79193;;
4.2895125;23298.36123;-25440.01581;13531.54206;;
4.305225;22900.63357;-25185.74999;13384.93273;;
4.3209375;22506.895;-24932.25478;13238.96357;;
4.33665;22117.1334;-24679.53439;13093.63418;;
4.3523625;21731.33655;-24427.59306;12948.94421;;
4.368075;21349.49219;-24176.43509;12804.89328;;
4.3837875;20971.58796;-23926.06481;12661.48102;;
4.3995;20597.61145;-23676.48661;12518.70706;;
4.4152125;20227.55019;-23427.7049;12376.57106;;
4.430925;19861.39163;-23179.72416;12235.07264;;
4.4466375;19499.12314;-22932.5489;12094.21146;;
4.46235;19140.73204;-22686.18369;11953.98716;;
4.4780625;18786.20555;-22440.63313;11814.3994;;
4.493775;18435.53085;-22195.9019;11675.44784;;
4.5094875;18088.69502;-21951.99471;11537.13214;;
4.5252;17745.68508;-21708.91632;11399.45196;;
4.5409125;17406.48796;-21466.67155;11262.40699;;
4.556625;17071.09053;-21225.26528;11125.99688;;
4.5723375;16739.47958;-20984.70243;10990.22133;;
4.58805;16411.64181;-20744.98799;10855.08002;;
4.6037625;16087.56386;-20506.127;10720.57265;;
4.619475;15767.23228;-20268.12456;10586.6989;;
4.6351875;15450.63352;-20030.98585;10453.4585;;
4.6509;15137.75399;-19794.71608;10320.85113;;
4.6666125;14828.57999;-19559.32055;10188.87653;;
4.682325;14523.09774;-19324.80461;10057.53441;;
4.6980375;14221.29337;-19091.17368;9926.824509;;
4.71375;13923.15294;-18858.43326;9796.746556;;
4.7294625;13628.66241;-18626.5889;9667.300298;;
4.745175;13337.80766;-18395.64625;9538.485487;;
4.7608875;13050.57448;-18165.611;9410.301884;;
4.7766;12766.94855;-17936.48894;9282.749257;;
4.7923125;12486.9155;-17708.28592;9155.827383;;
4.808025;12210.46082;-17481.0079;9029.536049;;
4.8237375;11937.56995;-17254.66088;8903.875049;;
4.83945;11668.2282;-17029.25098;8778.844191;;
4.8551625;11402.4208;-16804.78439;8654.443288;;
4.870875;11140.13288;-16581.26738;8530.672167;;
